step,elapsed_min,penalty_weight,train_acc,avg_loss,current_acc,current_pred_ones,ema_acc,ema_pred_ones,selected_acc,selected_pred_ones,selected_tag,is_best,best_acc,best_step,best_tag,total
25,5.468337714672089,0.2819548872180451,0.5625,2.883967274427414,0.4917338207194484,393,0.44255213092963364,6293,0.4917338207194484,393,current,True,0.4917338207194484,25,current,24074
50,10.94217235247294,0.5639097744360902,0.545,5.857529273033142,0.5046107834177951,2821,0.4698429841322589,1656,0.5046107834177951,2821,current,True,0.5046107834177951,50,current,24074
75,16.44321484963099,0.8458646616541353,0.47,8.77540589570999,0.5365124200382155,19165,0.5172385145800449,7935,0.5365124200382155,19165,current,True,0.5365124200382155,75,current,24074
100,21.93453020652135,1.1278195488721805,0.4875,9.119130379781128,0.5141231203788319,5152,0.5329816399435076,11610,0.5329816399435076,11610,ema,False,0.5365124200382155,75,current,24074
125,27.424299550056457,1.4097744360902256,0.5425,13.256813595294952,0.5374678075932542,11784,0.5272493146132757,7948,0.5374678075932542,11784,current,True,0.5374678075932542,125,current,24074
150,32.91564464569092,1.6917293233082706,0.6,6.888362741321325,0.5286200880618094,6791,0.5341447204452937,9886,0.5341447204452937,9886,ema,False,0.5374678075932542,125,current,24074
175,38.40940321683884,1.9736842105263157,0.5575,16.616315531730653,0.5392539669352828,9569,0.5306139403505857,7973,0.5392539669352828,9569,current,True,0.5392539669352828,175,current,24074
200,43.90928860505422,2.255639097744361,0.54,14.478923976421356,0.5259200797540915,10662,0.5330231785328571,9097,0.5330231785328571,9097,ema,False,0.5392539669352828,175,current,24074
225,49.39729804992676,2.537593984962406,0.625,13.49593389749527,0.518567749439229,14481,0.5313200963695273,10824,0.5313200963695273,10824,ema,False,0.5392539669352828,175,current,24074
250,54.8877671122551,2.819548872180451,0.54,33.37442668527365,0.5175708232948409,13371,0.5269585444878292,12215,0.5269585444878292,12215,ema,False,0.5392539669352828,175,current,24074
275,60.37835852702459,3.0,0.5325,29.82427535057068,0.5132923485918418,14722,0.5225139154274321,13140,0.5225139154274321,13140,ema,False,0.5392539669352828,175,current,24074
300,65.86758747498195,3.0,0.535,17.806461138725282,0.5142477361468805,15157,0.5188585195646755,13878,0.5188585195646755,13878,ema,False,0.5392539669352828,175,current,24074
325,71.3636039296786,3.0,0.655,22.632226833701132,0.5157015867741132,15572,0.5164492813824042,14512,0.5164492813824042,14512,ema,False,0.5392539669352828,175,current,24074
350,76.8689248641332,3.0,0.59,24.54614780664444,0.5159923568995597,16113,0.5153692780593171,15072,0.5159923568995597,16113,current,False,0.5392539669352828,175,current,24074
375,82.36724819342295,3.0,0.51,19.150921126455067,0.5151200465232201,15770,0.5156185095954141,15422,0.5156185095954141,15422,ema,False,0.5392539669352828,175,current,24074
